*Resp. Cost Center,*Project Type,WBS: Reporting WBS,WBS: Reporting WBS Desc.|Time: Fiscal Year.Period,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023,12/1/2023,1/1/2024,2/1/2024,3/1/2024,4/1/2024,5/1/2024,6/1/2024,7/1/2024,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025,Overall Result
  [+] Business Services,E,UCUS.00000004.03.01,BASE ADMIN CUST CARE PRCS COORD,100288.00,86158.00,92976.00,94011.00,86025.00,89473.00,94324.00,84622.00,92200.00,93984.00,91892.00,103161.00,87913.00,83106.00,100748.00,95801.00,90854.00,95801.00,95801.00,95801.00,95801.00,90854.00,95801.00,100748.00,91038.00,86073.00,104201.00,93989.00,99095.00,99095.00,93989.00,104201.00,99095.00,93989.00,99095.00,99095.00,98799.00,88599.00,107128.00,91407.00,107128.00,101887.00,96647.00,107128.00,96647.00,101887.00,101887.00,96647.00,106932.00,96451.00,99399.00,104780.00,110160.00,94018.00,110160.00,104780.00,99399.00,110160.00,99399.00,104780.00,110064.00,94636.00,102460.00,107865.00,108571.00,101638.00,113386.00,103050.00,107159.00,113386.00,97529.00,112680.00,7109733.00
  [+] Business Services,E,UCUS.00000008.01.01,CS SUPPORT SERVICES ADMIN BASE,32666.00,28405.00,32183.00,32183.00,31498.00,35605.00,37224.00,32276.00,32183.00,32183.00,30720.00,33648.00,30431.00,28982.00,34329.00,32836.00,32267.00,36221.00,36221.00,35914.00,32836.00,31344.00,32836.00,34329.00,31451.00,29998.00,35479.00,32394.00,35016.00,37329.00,35632.00,38563.00,33937.00,32394.00,33937.00,33937.00,33895.00,30814.00,36129.00,31738.00,36499.00,34912.00,33325.00,36499.00,33325.00,34912.00,34912.00,33325.00,36499.00,33325.00,34039.00,35959.00,37594.00,32690.00,37594.00,35959.00,34325.00,37594.00,34325.00,35959.00,37594.00,32690.00,35109.00,37038.00,37038.00,35354.00,38721.00,35354.00,37038.00,38721.00,33671.00,38721.00,2472575.00
  [+] Business Services,E,UCUS.00000009.01.01,DATA ANALYTICS,43434.00,37769.00,42792.00,42792.00,40847.00,42792.00,44737.00,40847.00,42792.00,42792.00,40847.00,44737.00,40476.00,38549.00,45661.00,43676.00,41691.00,43676.00,43676.00,43676.00,43676.00,41691.00,43676.00,37588.00,41844.00,39911.00,47204.00,43099.00,45152.00,45152.00,43099.00,47204.00,45152.00,43099.00,45152.00,31008.00,45100.00,41000.00,48073.00,42230.00,48565.00,46453.00,44342.00,48565.00,44342.00,46453.00,46453.00,22080.00,48565.00,44342.00,45292.00,47847.00,50022.00,43497.00,50022.00,47847.00,45672.00,50022.00,45672.00,15650.00,50022.00,43497.00,46716.00,49282.00,49282.00,47042.00,51522.00,47042.00,49282.00,51522.00,44802.00,18265.00,3138350.00
  [+] Business Services,E,UCUS.00000010.01.01,CS SAFETY BASE,9988.00,8685.00,9841.00,9841.00,9393.00,9841.00,10288.00,9393.00,9841.00,9841.00,9393.00,10288.00,9308.00,8865.00,10500.00,10044.00,9587.00,10044.00,10044.00,10044.00,10044.00,9587.00,10044.00,10500.00,9623.00,9178.00,10855.00,9911.00,10383.00,10383.00,9911.00,10855.00,10383.00,9911.00,10383.00,10383.00,10371.00,9429.00,11055.00,9711.00,11168.00,10683.00,10197.00,11168.00,10197.00,10683.00,10683.00,10197.00,11168.00,10197.00,10415.00,11003.00,11503.00,10003.00,11503.00,11003.00,10503.00,11503.00,10503.00,11003.00,11503.00,10003.00,10743.00,11333.00,11333.00,10818.00,11848.00,10818.00,11333.00,11848.00,10303.00,11848.00,746983.00
  [+] Business Services,E,UCUS.00000012.04.01,CS LEARNING & DEV ADMIN BASE,46531.00,40462.00,45843.00,45843.00,43760.00,45843.00,47927.00,43760.00,45843.00,45843.00,43760.00,93251.00,43344.00,41280.00,48896.00,46770.00,44644.00,46770.00,46770.00,46770.00,46770.00,44644.00,46770.00,80203.00,44793.00,42724.00,50530.00,46136.00,48333.00,48333.00,46136.00,50530.00,48333.00,46136.00,48333.00,65228.00,48272.00,43884.00,51454.00,45201.00,51981.00,49721.00,47461.00,51981.00,47461.00,49721.00,49721.00,47461.00,51981.00,47461.00,48478.00,51212.00,53540.00,46557.00,53540.00,51212.00,48884.00,53540.00,48884.00,23461.00,53540.00,46557.00,50002.00,52749.00,52749.00,50351.00,55146.00,50351.00,52749.00,55146.00,47953.00,24332.00,3512537.00
  [+] Business Services,E,UCUS.00000012.06.01,QUALITY,11225.00,9761.00,11059.00,11059.00,10556.00,13783.00,15247.00,13921.00,11059.00,11059.00,10556.00,11561.00,10460.00,9962.00,11800.00,11287.00,10774.00,14225.00,14878.00,14878.00,11287.00,10774.00,11287.00,11800.00,10814.00,10314.00,12199.00,11138.00,11669.00,14870.00,14676.00,16074.00,11669.00,11138.00,11669.00,11669.00,11655.00,10596.00,12424.00,10914.00,12551.00,15470.00,15097.00,16535.00,11459.00,12005.00,12005.00,11459.00,12551.00,11459.00,11705.00,12365.00,12927.00,14810.00,17031.00,16291.00,11803.00,12927.00,11803.00,12365.00,12927.00,11241.00,12073.00,12736.00,12736.00,14179.00,17542.00,16017.00,13655.00,13315.00,11578.00,13315.00,903679.00
  [+] Business Services,E,UCUS.00000012.14.01,CC LEARNING & DEVELOPMENT ADMIN BASE,85233.00,74121.00,83973.00,83973.00,80158.00,83973.00,87788.00,80158.00,83973.00,83973.00,80158.00,87788.00,82794.00,79125.00,93715.00,89642.00,85570.00,89642.00,89642.00,89642.00,89642.00,85570.00,89642.00,93715.00,85866.00,81902.00,96859.00,88440.00,92649.00,92649.00,88440.00,96859.00,92649.00,88440.00,92649.00,92649.00,92537.00,84129.00,98633.00,86651.00,99642.00,95312.00,90981.00,99642.00,90981.00,95312.00,95312.00,90981.00,99642.00,90981.00,92930.00,98170.00,102630.00,89249.00,102630.00,98170.00,93709.00,102630.00,93709.00,98170.00,102630.00,89249.00,95850.00,101113.00,101113.00,96519.00,105707.00,96519.00,101113.00,105707.00,91925.00,105707.00,6619550.00
  [+] Business Services,E,UCUS.00000014.01.01,COST & PERFORMANCE,196608.00,177788.00,202421.00,275131.00,262624.00,275131.00,287637.00,262624.00,275131.00,275131.00,262624.00,275979.00,252603.00,240574.00,283975.00,271627.00,259281.00,271627.00,271627.00,271627.00,271627.00,259281.00,260937.00,302063.00,237948.00,226946.00,268171.00,244851.00,256512.00,256512.00,244851.00,268171.00,256512.00,244851.00,256512.00,234246.00,254687.00,231534.00,271338.00,238298.00,274043.00,262128.00,250214.00,274043.00,250214.00,262128.00,262128.00,226417.00,271822.00,248186.00,253411.00,267668.00,279835.00,243335.00,279835.00,267668.00,255502.00,279835.00,255296.00,214204.00,278260.00,241965.00,259804.00,274055.00,274055.00,261598.00,286513.00,261598.00,274055.00,286513.00,249141.00,235909.00,18599001.00
  [+] Business Services,E,UCUS.00000019.01.01,EMERGENCY PREPAREDNESS,24931.00,21679.00,24562.00,24562.00,23446.00,24562.00,25679.00,23446.00,24562.00,24562.00,23446.00,25680.00,23233.00,22127.00,26209.00,25069.00,23930.00,25069.00,25069.00,25069.00,25069.00,23930.00,25069.00,26209.00,24018.00,22909.00,27095.00,24739.00,25917.00,25917.00,24739.00,27095.00,25917.00,24739.00,25917.00,25917.00,25887.00,23534.00,27593.00,24240.00,27876.00,26664.00,25452.00,27876.00,25452.00,26664.00,26664.00,25452.00,27876.00,25452.00,25997.00,27464.00,28712.00,24967.00,28712.00,27464.00,26215.00,28712.00,26215.00,27464.00,28712.00,24967.00,26814.00,28287.00,28287.00,27002.00,29573.00,27002.00,28287.00,29573.00,25716.00,29573.00,1864476.00
  [+] Business Services,E,UCUS.00000074.01.01,CUSTOMER SERVICE ADMIN BASE O&M,8450.00,7710.00,8366.00,8366.00,8112.00,8366.00,8620.00,8112.00,8366.00,8366.00,8112.00,8620.00,8054.00,7802.00,8729.00,8471.00,8212.00,8471.00,8471.00,8471.00,8471.00,8212.00,8471.00,8729.00,8223.00,7972.00,8921.00,8386.00,8654.00,8654.00,8386.00,8921.00,8654.00,8386.00,8654.00,8654.00,8644.00,8110.00,9030.00,8270.00,9094.00,8820.00,8545.00,9094.00,8545.00,8820.00,8820.00,8545.00,9094.00,8545.00,8668.00,9001.00,9284.00,8435.00,9284.00,9001.00,8718.00,9284.00,8718.00,9001.00,9284.00,8435.00,8854.00,9187.00,9187.00,8896.00,9479.00,8896.00,9187.00,9479.00,8605.00,9479.00,622931.00
  [+] Business Services,E,UCUS.00000074.07.01,BU PROJECT FUNDING,-66250.00,-66250.00,-257108.00,-66250.00,-66250.00,-257108.00,-66250.00,-66250.00,-257108.00,-66250.00,-66250.00,-257108.00,-41666.00,-41666.00,-396666.00,-41666.00,-41666.00,-396666.00,-41666.00,-41666.00,-396666.00,-41666.00,-41666.00,-396674.00,-36666.00,-36666.00,-128166.00,-36666.00,-36666.00,-128166.00,-36666.00,-36666.00,-128166.00,-36666.00,-36666.00,-128166.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286674.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286674.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286666.00,-36666.00,-36666.00,-286674.00,-8604424.00
  [+] Business Services,E,UCUS.00000090.01.01,COST & PERFORMANCE ADMIN BASE,1774.00,1542.00,1747.00,1747.00,1668.00,1747.00,1827.00,1668.00,1747.00,1747.00,1668.00,1827.00,1653.00,1574.00,1865.00,1784.00,1703.00,1784.00,1784.00,1784.00,1784.00,1703.00,1784.00,1865.00,1709.00,1630.00,1928.00,1760.00,1844.00,1844.00,1760.00,1928.00,1844.00,1760.00,1844.00,1844.00,1842.00,1674.00,1963.00,1725.00,1983.00,1897.00,1811.00,1983.00,1811.00,1897.00,1897.00,1811.00,1983.00,1811.00,1850.00,1954.00,2043.00,1776.00,2043.00,1954.00,1865.00,2043.00,1865.00,1954.00,2043.00,1776.00,1908.00,2013.00,2013.00,1921.00,2104.00,1921.00,2013.00,2104.00,1830.00,2104.00,132650.00
  [+] Business Services,E,UCUS.00000120.01.01,CHANGE MANAGEMENT,45637.00,39684.00,45119.00,44961.00,42918.00,44961.00,47005.00,42918.00,44961.00,44961.00,42918.00,32476.00,42515.00,40490.00,48283.00,45875.00,43790.00,45875.00,45875.00,45875.00,45875.00,43790.00,45875.00,28260.00,43992.00,41964.00,49956.00,45312.00,47469.00,47469.00,45312.00,49627.00,47469.00,45312.00,47469.00,22196.00,47469.00,43153.00,50892.00,44448.00,51116.00,48894.00,46671.00,51116.00,46505.00,49060.00,48894.00,13882.00,51163.00,46715.00,47686.00,50407.00,52698.00,45825.00,52698.00,50407.00,48116.00,52698.00,48286.00,8925.00,52718.00,45841.00,49208.00,51938.00,51938.00,49577.00,54299.00,49577.00,51938.00,54299.00,47216.00,10996.00,3241711.00
  [+] Business Services,E,UCUS.00000121.01.01,STRATEGIC INITIATIVES,109855.00,95526.00,108231.00,108231.00,103311.00,108231.00,113150.00,103311.00,108231.00,108231.00,103311.00,113150.00,102362.00,97487.00,115376.00,110359.00,105343.00,110359.00,110359.00,110359.00,110359.00,105343.00,110359.00,115376.00,105721.00,100686.00,119066.00,108713.00,113890.00,113890.00,108713.00,119066.00,113890.00,108713.00,113890.00,113890.00,113756.00,103414.00,122200.00,106261.00,122200.00,116887.00,111574.00,122200.00,111574.00,116887.00,116887.00,111574.00,122200.00,111574.00,114562.00,120018.00,125473.00,109107.00,125473.00,120018.00,114562.00,125473.00,114562.00,120018.00,125859.00,109453.00,118139.00,123623.00,123616.00,118010.00,129242.00,117997.00,123630.00,129242.00,112377.00,129249.00,8185226.00
