Debt Share by Product Type and Age (2019Q2),,,,,,,,,,,,,,,,,
Trillions of Dollars,,,,,,,,,,,,,,,,,
,18-29,30-39,40-49,50-59,60-69,70+,,,,,,,,,,,
Auto Loans, 0.16 , 0.28 , 0.30 , 0.28 , 0.18 , 0.09 ,,,,,,,,,,,
Credit Card, 0.05 , 0.15 , 0.19 , 0.21 , 0.16 , 0.11 ,,,,,,,,,,,
Mortgage, 0.32 , 1.86 , 2.51 , 2.35 , 1.54 , 0.82 ,,,,,,,,,,,
HELOC, 0.00 , 0.02 , 0.07 , 0.11 , 0.11 , 0.08 ,,,,,,,,,,,
Student Loans, 0.35 , 0.49 , 0.32 , 0.21 , 0.09 , 0.02 ,,,,,,,,,,,
Other, 0.03 , 0.07 , 0.09 , 0.10 , 0.08 , 0.04 ,,,,,,,,,,,
Return to Table of Contents,,,,,,,,,,,,,,,,,
Source: New York Fed Consumer Credit Panel/Equifax,,,,,,,,,,,,,,,,,
Note: Balances may not add up to totals due to a small number of individuals with unknown birthyears.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
